2023-12-19,03:52,Спортивный директор «Ньюкасла» может продолжить работу в «Манчестер Юнайтед»,https://championat.com//football/news-5363770-sportivnyj-direktor-nyukasla-mozhet-perejti-na-rabotu-v-manchester-yunajted.html
2023-12-19,03:16,"Глава «Барселоны» рассказал, что будет, если клуб не возьмёт титул по итогам сезона",https://championat.com//football/news-5363764-glava-barselony-rasskazal-o-posledstviyah-esli-klub-ne-vozmyot-titul-po-itogam-sezona.html
2023-12-19,03:03,"Кьеллини рассказал, кто из тренеров поменял его видение футбола",https://championat.com//football/news-5363762-kellini-rasskazal-kto-iz-trenerov-pomenyal-ego-videnie-futbola.html
2023-12-19,02:59,"Сергей Карасёв объяснил, почему не ждёт приглашения на следующий сбор судей УЕФА",https://championat.com//football/news-5363760-sergej-karasyov-obyasnil-pochemu-ne-zhdet-priglasheniya-na-sleduyuschij-sbor-sudej-uefa.html
2023-12-19,02:55,Источник: несколько клубов турецкой Суперлиги претендуют на форварда ЦСКА Чалова,https://championat.com//football/news-5363756-istochnik-neskolko-klubov-tureckoj-superligi-pretenduyut-na-forvarda-cska-chalova.html
2023-12-19,02:42,Главный тренер «Порту» устроил потасовку со спортивным директором «Спортинга»,https://championat.com//football/news-5363754-glavnyj-trener-portu-ustroil-potasovku-so-sportivnym-direktorom-sportinga.html
2023-12-19,02:16,Главный тренер сборной Украины оценил шансы «Шахтёра» в матче с «Марселем» в Лиге Европы,https://championat.com//football/news-5363752-glavnyj-trener-sbornoj-ukrainy-ocenil-shansy-shahtyora-v-matche-s-marselem-v-lige-evropy.html
2023-12-19,02:02,Президент «Наполи» высказался о попадании на «Барселону» в 1/8 финала Лиги чемпионов,https://championat.com//football/news-5363750-prezident-napoli-vyskazalsya-o-popadanii-na-barselonu-v-1-8-finala-ligi-chempionov.html
2023-12-19,01:58,Гасперини оценил игру Миранчука за «Аталанту» после первого гола россиянина в сезоне,https://championat.com//football/news-5363748-gasperini-ocenil-igru-miranchuka-za-atalantu-posle-pervogo-gola-rossiyanina-v-sezone.html
2023-12-19,01:44,Лука Модрич ответил на вопрос о своём будущем в «Реале»,https://championat.com//football/news-5363742-luka-modrich-otvetil-na-vopros-o-svoyom-buduschem-v-reale.html
